arch_name	status	nix_attr	mapping_kind
dbus-c++	unmatched		
dbusmap	unmatched		
dc3dd	direct	dc3dd	exact-validated
dcdetector	unmatched		
dcfldd	direct	dcfldd	exact-validated
dcrawl	unmatched		
ddosify	direct	ddosify	exact-validated
de4dot	unmatched		
de4dotex	unmatched		
deathstar	unmatched		
debinject	unmatched		
deblaze	unmatched		
decodify	unmatched		
deen	unmatched		
deepce	unmatched		
delldrac	unmatched		
delorean	unmatched		
deluge	direct	deluge	exact-validated
deluge-gtk	direct	deluge-gtk	exact-validated
demiguise	unmatched		
deno	direct	deno	exact-validated
densityscout	unmatched		
depant	unmatched		
depdep	unmatched		
dependency-check	unmatched		
depix	unmatched		
deskhpsdr	unmatched		
det	unmatched		
detect-it-easy	direct	detect-it-easy	exact-validated
detect-secrets	direct	detect-secrets	exact-validated
detect-sniffer	unmatched		
detectem	unmatched		
devaudit	unmatched		
device-pharmer	unmatched		
dex2jar	direct	dex2jar	exact-validated
dexpatcher	unmatched		
dff-scanner	unmatched		
dfir-ntfs	unmatched		
dftimewolf	unmatched		
dga-detection	unmatched		
dharma	unmatched		
dhcdrop	unmatched		
dhcpf	unmatched		
dhcpig	direct	dhcpig	exact-validated
dhcpoptinj	unmatched		
dialog	direct	dialog	exact-validated
didier-stevens-suite	unmatched		
digikam	direct	digikam	exact-validated
dinouml	unmatched		
dirble	unmatched		
dirbuster	direct	dirbuster	exact-validated
dirbuster-ng	unmatched		
directorytraversalscan	unmatched		
dirscanner	unmatched		
dirscraper	unmatched		
dirstalk	direct	dirstalk	exact-validated
discord	direct	discord	exact-validated
discover	unmatched		
disitool	unmatched		
dislocker	direct	dislocker	exact-validated
dissector	unmatched		
distrobox	direct	distrobox	exact-validated
dizzy	unmatched		
dkmc	unmatched		
dkms	unmatched		
dmde	unmatched		
dmg2img	direct	dmg2img	exact-validated
dmidecode	direct	dmidecode	exact-validated
dmraid	direct	dmraid	exact-validated
dnmap	unmatched		
dns-parallel-prober	unmatched		
dns-reverse-proxy	unmatched		
dns-spoof	unmatched		
dns2geoip	unmatched		
dns2tcp	direct	dns2tcp	exact-validated
dnsa	unmatched		
dnsbf	unmatched		
dnsbrute	unmatched		
dnscan	unmatched		
dnschef	direct	dnschef	exact-validated
dnscobra	unmatched		
dnsdiag	direct	dnsdiag	exact-validated
dnsdrdos	unmatched		
dnsfilexfer	unmatched		
dnsgen	unmatched		
dnsgoblin	unmatched		
dnsgrep	unmatched		
dnsmap	direct	dnsmap	exact-validated
dnsobserver	unmatched		
dnspredict	unmatched		
dnsprobe	unmatched		
dnspy	unmatched		
dnssearch	unmatched		
dnsspider	unmatched		
dnsteal	unmatched		
dnstracer	direct	dnstracer	exact-validated
dnstwist	direct	dnstwist	exact-validated
dnsvalidator	direct	dnsvalidator	exact-validated
dnswatch	unmatched		
dnsx	direct	dnsx	exact-validated
docbook-xml	unmatched		
docbook-xsl	alias	docbook_xsl	hyphen-to-underscore
docem	unmatched		
docker-compose	direct	docker-compose	exact-validated
dockerscan	unmatched		
dolphin	unmatched		
dolphin-plugins	unmatched		
domain-analyzer	unmatched		
domain-stats	unmatched		
domained	unmatched		
domainhunter	unmatched		
domato	unmatched		
domi-owned	unmatched		
domlink	unmatched		
donpapi	direct	donpapi	exact-validated
dontgo403	unmatched		
doona	direct	doona	exact-validated
doork	unmatched		
doozer	unmatched		
dorkbot	unmatched		
dorkme	unmatched		
dorknet	unmatched		
dorkscout	direct	dorkscout	exact-validated
dos2unix	direct	dos2unix	exact-validated
dosfstools	direct	dosfstools	exact-validated
dotdotpwn	unmatched		
dotpeek	unmatched		
downgrade	unmatched		
dpeparser	unmatched		
dpscan	unmatched		
dr-checker	unmatched		
dr0p1t-framework	unmatched		
dracnmap	unmatched		
draco	direct	draco	exact-validated
